index|station_id|station_name|date|average_wind_speed|precipitation|snowfall|snow_depth|temperature_avg|temperature_max|temperature_min
45|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-02-15|6.93|0.42|1.5|0.0|18|33|10
46|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-02-16|10.51|0.99|0.0|1.2|43|55|33
47|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-02-17|9.62|0.0|0.0|0.0|39|41|32
48|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-02-18|13.42|0.0|0.0|0.0|33|38|27
49|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-02-19|6.93|0.0|0.0|0.0|29|38|19
50|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-02-20|11.86|0.0|0.0|0.0|47|64|38
51|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-02-21|5.59|0.08|0.0|0.0|51|56|38
52|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-02-22|6.93|0.0|0.0|0.0|45|54|35
53|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-02-23|12.75|0.27|0.0|0.0|39|42|34
54|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-02-24|11.41|1.02|0.0|0.0|42|63|36
55|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-02-25|18.57|0.05|0.0|0.0|54|64|35
56|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-02-26|17.9|0.0|0.0|0.0|36|39|28
57|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-02-27|9.62|0.0|0.0|0.0|33|43|24
58|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-02-28|12.3|0.0|0.0|0.0|45|62|35
59|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-02-29|13.65|0.03|0.0|0.0|51|62|42
60|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-01|9.4|0.0|0.0|0.0|45|53|39
61|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-02|19.01|0.12|0.0|0.0|47|57|29
62|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-03|9.4|0.0|0.0|0.0|32|38|26
63|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-04|11.18|0.12|1.4|1.2|33|40|29
64|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-05|5.82|0.0|0.0|0.0|35|43|28
65|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-06|4.92|0.0|0.0|0.0|36|47|27
66|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-07|10.51|0.0|0.0|0.0|43|63|31
67|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-08|3.8|0.0|0.0|0.0|54|65|45
68|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-09|6.93|0.0|0.0|0.0|58|82|42
69|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-10|8.5|0.0|0.0|0.0|70|81|59
70|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-11|11.41|0.03|0.0|0.0|64|69|48
71|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-12|8.05|0.0|0.0|0.0|50|60|38
72|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-13|6.49|0.0|0.0|0.0|56|62|49
73|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-14|14.32|0.52|0.0|0.0|48|52|41
74|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-15|9.4|0.0|0.0|0.0|48|57|45
75|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-16|3.58|0.03|0.0|0.0|54|64|46
76|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-17|7.83|0.0|0.0|0.0|53|66|44
77|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-18|14.76|0.0|0.0|0.0|52|62|41
78|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-19|6.71|0.0|0.0|0.0|43|47|35
79|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-20|10.96|0.07|0.2|0.0|39|44|33
80|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-21|14.32|0.0|0.0|0.0|40|53|33
81|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-22|12.08|0.0|0.0|0.0|44|58|34
82|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-23|10.29|0.0|0.0|0.0|57|74|45
83|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-24|9.62|0.0|0.0|0.0|52|56|44
84|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-25|11.41|0.11|0.0|0.0|57|74|46
85|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-26|9.17|0.0|0.0|0.0|47|54|38
86|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-27|6.93|0.0|0.0|0.0|46|51|44
87|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-28|15.21|0.38|0.0|0.0|48|65|43
88|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-29|21.03|0.0|0.0|0.0|51|56|40
89|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-30|8.5|0.0|0.0|0.0|45|55|33
90|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-03-31|13.87|0.0|0.0|0.0|58|74|46
91|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-01|13.42|0.0|0.0|0.0|70|80|62
92|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-02|9.84|0.16|0.0|0.0|58|64|42
93|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-03|19.91|0.03|0.0|0.0|43|45|35
94|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-04|10.51|0.44|0.0|0.0|41|44|30
95|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-05|16.33|0.0|0.0|0.0|34|44|26
96|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-06|8.5|0.0|0.0|0.0|38|49|27
97|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-07|12.53|0.09|0.0|0.0|53|61|46
98|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-08|14.09|0.0|0.0|0.0|48|50|38
99|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-09|10.74|0.09|0.0|0.0|40|44|32
100|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-10|11.18|0.0|0.0|0.0|40|52|31
101|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-04-11|10.29|0.01|0.0|0.0|51|68|42
